"NOME DO BEM","VALOR","PRAZO","1ª PARCELA","PLANO","TIPO DE VENDA",""
"IM0310 - IMÓVEL - R$ 360.000,00","R$ 360.000,00","222","R$ 2.250,86","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0374 - IMÓVEL (70%) - R$ 380.000,00","R$ 380.000,00","222","R$ 1.862,15","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0311 - IMÓVEL - R$ 380.000,00","R$ 380.000,00","222","R$ 2.375,91","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0364 - IMÓVEL (50%) - R$ 380.000,00","R$ 380.000,00","222","R$ 1.519,77","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0312 - IMÓVEL - R$ 400.000,00","R$ 400.000,00","222","R$ 2.500,96","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0365 - IMÓVEL (50%) - R$ 400.000,00","R$ 400.000,00","222","R$ 1.599,76","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0375 - IMÓVEL (70%) - R$ 400.000,00","R$ 400.000,00","222","R$ 1.960,16","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0313 - IMÓVEL - R$ 420.000,00","R$ 420.000,00","222","R$ 2.626,01","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0366 - IMÓVEL (50%) - R$ 420.000,00","R$ 420.000,00","222","R$ 1.679,75","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0376 - IMÓVEL (70%) - R$ 420.000,00","R$ 420.000,00","222","R$ 2.058,17","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0377 - IMÓVEL (70%) - R$ 440.000,00","R$ 440.000,00","222","R$ 2.156,18","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0367 - IMÓVEL (50%) - R$ 440.000,00","R$ 440.000,00","222","R$ 1.759,74","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0314 - IMÓVEL - R$ 440.000,00","R$ 440.000,00","222","R$ 2.751,06","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0378 - IMÓVEL (70%) - R$ 460.000,00","R$ 460.000,00","222","R$ 2.254,18","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0368 - IMÓVEL (50%) - R$ 460.000,00","R$ 460.000,00","222","R$ 1.839,72","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0315 - IMÓVEL - R$ 460.000,00","R$ 460.000,00","222","R$ 2.876,10","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0316 - IMÓVEL - R$ 480.000,00","R$ 480.000,00","222","R$ 3.001,15","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0379 - IMÓVEL (70%) - R$ 480.000,00","R$ 480.000,00","222","R$ 2.352,19","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0369 - IMÓVEL (50%) - R$ 480.000,00","R$ 480.000,00","222","R$ 1.919,71","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
