"NOME DO BEM","VALOR","PRAZO","1ª PARCELA","PLANO","TIPO DE VENDA",""
"CR6320 - AUTOMÓVEL GRANDE PORTE 50% - R$ 420.000,00","R$ 420.000,00","126","R$ 2.549,82","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR6321 - AUTOMÓVEL GRANDE PORTE 50% - R$ 440.000,00","R$ 440.000,00","126","R$ 7.036,48","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR6285 - AUTOMOVEL GRANDE PORTE (70%)","R$ 440.000,00","106","R$ 8.234,78","21 - PLANO EXCLUSIVO 70%","82 - PARCELA GRADUAL",""
"CR6321 - AUTOMÓVEL GRANDE PORTE 50% - R$ 440.000,00","R$ 440.000,00","126","R$ 2.671,24","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR6285 - AUTOMOVEL GRANDE PORTE (70%)","R$ 440.000,00","106","R$ 3.876,14","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR6187 - AUTOMÓVEL GRANDE PORTE - R$ 440.000,00","R$ 440.000,00","126","R$ 8.782,40","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR6187 - AUTOMÓVEL GRANDE PORTE - R$ 440.000,00","R$ 440.000,00","126","R$ 4.417,60","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR6286 - AUTOMOVEL GRANDE PORTE (70%)","R$ 460.000,00","106","R$ 8.609,08","21 - PLANO EXCLUSIVO 70%","82 - PARCELA GRADUAL",""
"CR6286 - AUTOMOVEL GRANDE PORTE (70%)","R$ 460.000,00","106","R$ 4.052,32","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR6188 - AUTOMÓVEL GRANDE PORTE - R$ 460.000,00","R$ 460.000,00","126","R$ 4.618,40","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
"CR6322 - AUTOMÓVEL GRANDE PORTE 50% - R$ 460.000,00","R$ 460.000,00","126","R$ 7.356,32","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR6322 - AUTOMÓVEL GRANDE PORTE 50% - R$ 460.000,00","R$ 460.000,00","126","R$ 2.792,66","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR6188 - AUTOMÓVEL GRANDE PORTE - R$ 460.000,00","R$ 460.000,00","126","R$ 9.181,60","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR6323 - AUTOMÓVEL GRANDE PORTE 50% - R$ 480.000,00","R$ 480.000,00","126","R$ 2.914,08","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR6287 - AUTOMOVEL GRANDE PORTE (70%)","R$ 480.000,00","106","R$ 4.228,51","21 - PLANO EXCLUSIVO 70%","81 - PARCELA LINEAR",""
"CR6287 - AUTOMOVEL GRANDE PORTE (70%)","R$ 480.000,00","106","R$ 8.983,39","21 - PLANO EXCLUSIVO 70%","82 - PARCELA GRADUAL",""
"CR6323 - AUTOMÓVEL GRANDE PORTE 50% - R$ 480.000,00","R$ 480.000,00","126","R$ 7.676,16","40 - PLANO EXCLUSIVO 50%","61 - PARCELA GRADUAL",""
"CR6189 - AUTOMÓVEL GRANDE PORTE - R$ 480.000,00","R$ 480.000,00","126","R$ 9.580,80","3000 - GRUPO 3000 PARTICIPANTES","61 - PARCELA GRADUAL",""
"CR6189 - AUTOMÓVEL GRANDE PORTE - R$ 480.000,00","R$ 480.000,00","126","R$ 4.819,20","3000 - GRUPO 3000 PARTICIPANTES","51 - PARCELA LINEAR",""
